B00IGH2HKU,"[3, 4, 3, 3, 3, 1]"
B00IGHP28Y,"[2, 1, 3, 4, 2, 1, 1, 5, 2, 1, 2, 1]"
B00IGHY7LC,"[2, 4, 5, 5, 2, 4, 5, 1, 5, 1]"
B00IGI3G3G,"[2, 5, 2, 1, 2, 3, 3, 3, 5, 5, 2, 4, 5, 3, 5, 4]"
B00IGM8W4K,"[5, 3, 5, 5, 5, 5, 1, 4, 5, 5, 4, 4, 4, 5, 4, 3, 5, 5, 5, 5, 2, 2, 1, 5, 5, 5, 3, 2, 5, 1, 5, 5, 5, 4, 5, 5, 5, 5, 1, 1, 5, 5, 5, 4, 1, 3, 5, 4]"
B00IGXR8J4,"[4, 4, 5, 4, 3]"
B00IGXR8MG,"[3, 5, 5, 2, 5, 5]"
B00IGXRA92,"[5, 4, 5, 5, 3, 5]"
B00IGXRAE2,"[3]"
B00IHWG6R4,"[1, 2]"
B00II4JQ7S,"[5, 5, 5, 5]"
B00IIB2JQG,"[5, 4, 5, 5, 1, 5]"
B00IIB2K2Y,"[4]"
B00IIB2K4C,"[5, 5, 5, 5, 5, 5, 5, 2, 5]"
B00IIE1MJI,"[5]"
B00IIFTY7E,"[5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 2, 5, 5, 5, 4, 5, 5]"
B00IIHU44E,"[4, 2, 5, 3, 4, 2, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 1, 1, 5, 1, 1, 1, 5, 1, 5, 5, 1, 4, 5, 5, 5, 5, 4, 1, 5, 1, 1, 5, 5, 4, 3, 5, 5, 5, 5, 1, 1, 5, 5, 2, 5, 5, 5, 5, 5, 3, 5, 5, 5, 2, 3, 1, 5, 5, 5, 2, 5, 1, 2, 5, 1, 3, 5, 3, 5, 5, 5, 5, 5, 4, 4, 1, 4, 5, 3, 5, 5, 5, 5, 3, 2, 4, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 1, 5, 4, 5, 3, 4, 5, 4, 4, 4, 4, 5, 1, 5, 5, 5, 5, 5, 5, 1, 4, 4, 5, 5, 5, 5, 1, 3, 5, 1, 5, 5, 5, 5, 2, 5, 5, 1, 5, 5, 5, 3, 5, 1, 5, 5, 5, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 5, 5, 5, 4, 5, 3, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 3, 4, 4, 5, 2, 3, 5, 5, 4, 3, 4, 4, 2, 1, 5, 4, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 2, 5, 4, 4, 5, 5, 5, 1, 4, 3, 5, 4, 5, 4, 5, 5, 5, 2, 5, 1, 5, 5, 5, 4, 4, 5, 4, 5, 1, 5, 4, 5, 1, 1, 5, 1, 5, 5, 4, 3, 5, 5, 1, 3, 5, 5, 5, 5, 1, 5, 1, 5, 5, 5, 1, 4, 5, 5, 5, 4, 3, 5, 4, 5, 1, 3, 5, 4, 1, 3, 2, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 1, 5, 3, 5, 5, 3, 5, 5, 4, 1, 5, 5, 4, 5, 5, 3, 3, 4, 4, 5, 3, 5, 5, 5, 4, 5, 4, 1, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5, 3, 1, 5, 4, 5, 5, 5, 3, 1, 5, 5, 5, 4, 5, 5, 3, 3, 1, 1, 5, 5, 3, 5, 2, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 2, 3, 4, 1, 5, 5, 5, 1, 4, 4, 2, 5, 5]"
B00III6816,"[1]"
B00IIKR26E,"[5, 5]"
B00IIO4G8W,"[5]"
B00IIRWDKM,"[5]"
B00IIRWH4O,"[1, 4, 2, 5, 2, 1]"
B00IIRWI9I,"[5, 4, 5, 2, 1, 5, 4, 3, 2, 5, 5, 4]"
B00IIWKDZE,"[5, 5, 5, 3, 5]"
B00IIYN746,"[5, 5, 1, 5, 5]"
B00IJ1U1V0,"[5]"
B00IJ1VWZ4,"[1, 4, 1, 5, 1, 5]"
B00IJ7KVA0,"[5, 5, 2, 5]"
B00IJBP7WI,"[5]"
B00IJIVC5W,"[5, 5]"
B00IJPIRRG,"[4]"
B00IJPNYQK,"[4]"
B00IJQJYHC,"[4, 3, 5, 5, 5, 4, 5, 4, 5, 4, 1]"
B00IJUXIJS,"[2]"
B00IJZVPZM,"[5]"
B00IJZXB3G,"[5, 1, 5]"
B00IK108KI,"[2]"
B00IK17482,"[1, 5]"
B00IK1XLO8,"[1]"
B00IK1XP7G,"[1, 5]"
B00IK21J00,"[5, 3, 4]"
B00IK25W2Q,"[4]"
B00IK288IG,"[4]"
B00IK40IDC,"[5]"
